目录编号,视频ID,视频标题,发布时间_格式化,点赞数,分享数,播放数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
099,7575341215181977930,中国人的饭碗端得更牢了！2024年，全国粮食产量首次突破1.4万亿斤；2024年底，农业科技进步贡献率达到63.2%！#绘说现代化 #AI大家创 #媒体精选计划,2025-11-22 08:32:55,21968,1647,1137943,L1,7575342934355657521,我哥是干装修的，我们这边农村现在有很多新建房屋，很多有钱的老板都选择回乡建大别墅了，所以农村会越来越好[赞][赞][赞],🍊依依吖,3512282225313017,163,11,2025-11-22 08:39:34,安徽,
047,7440437279287561506,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,2024-11-23 19:37:05,20211,3649,1210905,L1,7440843767743365922,学校附近全是垃圾食品 谁去关注下,日光倾城之恋,2476545668293192,162,0,2024-11-24 21:54:07,河北,
043,7429939082479881487,茂名的荔枝、枣庄的石榴、东山的海鲜…90秒看中国农业大有可为！#绘说现代化,2024-10-26 12:43:15,8887,1275,545252,L1,7430292225836303145,我爸种了一辈子粮食，小时候多少钱现在也多少钱一斤！谷贱伤农！,海底世界,111146708586,161,4,2024-10-27 11:28:47,广东,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453445068612797238,祖国请保护妇女儿童[感谢],可可爱爱(⑉°з°)-♡,2985872062944397,161,0,2024-12-28 20:53:36,重庆,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349782677275050767,这怀旧的音乐，这快闪的节奏，看来人民网进了新血液了[呲牙][呲牙][呲牙][呲牙][呲牙][呲牙][呲牙],小鱼不吐泡,95089978521,160,0,2024-03-24 12:30:37,重庆,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7354168859916321563,看看我们这边吧，农田都没有，那有绿的,。C,3101072259292215,160,0,2024-04-05 08:11:17,广东,
022,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,31344,5444,1541046,L1,7375530663620150066,[捂脸]这么多水电站，电费能减少了吗？一年电费也不少钱呢。,老伍（好物推荐）,2620825630686110,160,3,2024-06-01 21:45:56,江苏,
034,7406599046112005428,累计调水740多亿立方米！90秒看南水北调工程有多牛👍 #绘说现代化,2024-08-24 15:07:19,14117,1155,686701,L1,7406620745764307762,在郑州以前都是喝的浑浊黄河水还动不动停水，现在喝的甘甜的丹江水，南水北调利在千秋,怕瓦落地,99783027217,154,4,2024-08-24 16:31:21,河南,
001,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,2024-01-05 19:36:59,23559,427,946139,L2,7320773273599361829,不挣钱，父辈们都老了，谁来种？,克莱因,60706165672,153,4,2024-01-06 08:19:22,山东,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453452087935206154,十一年够的话！那今后不是很多人效仿，请重视,好运来🍀,58557072863,152,0,2024-12-28 21:20:49,浙江,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453438856735605562,十一年合理吗？？？,73-,1706067259831904,151,1,2024-12-28 20:29:30,四川,
088,7546788333142560026,国土面积只占全国约4%，却蕴藏了全国约20%的绿色能源！彩云之南，绿能澎湃！#绘说现代化,2025-09-06 09:53:07,35651,2152,757023,L1,7546859810521105211,我们云南好是真的[捂脸]赚钱难也是真的[流泪],哥的剧情,2349001700803912,149,2,2025-09-06 14:30:30,云南,
002,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,2024-01-12 21:03:47,35042,2981,1453380,L2,7323222380163367734,拒绝转基因粮食，拒绝转基因,如意,111413831360,146,0,2024-01-12 22:43:05,甘肃,
031,7398734116654468367,暑期旅游，“热”力十足；新型消费，不断拓展！80秒看活力中国潜力十足🔥#绘说现代化,2024-08-03 10:27:20,9139,940,715977,L1,7398824202633282340,看了这个视频感觉我就是全中国过得最艰难的那一个: 怎么感觉今年挣钱最难呢，房子也不值钱，啥钱都不好挣，车这么便宜都卖不动,醉梦中的红颜,1138746350121336,146,3,2024-08-03 16:16:45,湖北,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453452104126464828,@罗瘦瘦: 首先我很爱我的祖国，为中国自豪，其次也希望我爱的祖国保护妇女儿童[玫瑰][玫瑰][玫瑰],永红串串店（万盛店）,111176686010,146,0,2024-12-28 21:20:55,重庆,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7557159248888759099,向往的地方,牛牛,101922903287,146,0,2025-10-04 08:37:36,江西,
043,7429939082479881487,茂名的荔枝、枣庄的石榴、东山的海鲜…90秒看中国农业大有可为！#绘说现代化,2024-10-26 12:43:15,8887,1275,545252,L1,7430307851925799720,4毛钱一斤的玉米，没矿泉水值钱[捂脸],O W,3787145900993743,144,0,2024-10-27 12:29:27,山东,
047,7440437279287561506,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,2024-11-23 19:37:05,20211,3649,1210905,L1,7440515408987734811,集中式风电我们可以导入产业 1.要求装机量500兆瓦以上项目 2.当地政府有集中式风电项目规划需要导入产业的 3.投资方或资源方手上有这种项目需要导入产业的 可导入额度3-5亿 具体合作方式详谈,光伏探探,104266909930,140,1,2024-11-24 00:40:01,湖南,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453408651584602940,11年！,夜雪🐰,1126343415701383,139,0,2024-12-28 18:32:16,湖北,
088,7546788333142560026,国土面积只占全国约4%，却蕴藏了全国约20%的绿色能源！彩云之南，绿能澎湃！#绘说现代化,2025-09-06 09:53:07,35651,2152,757023,L1,7546856797831889679,云南，除了赚不到钱，其他满分,小花猫,585358493094492,139,2,2025-09-06 14:18:48,云南,
002,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,2024-01-12 21:03:47,35042,2981,1453380,L2,7323426782596842251,保护好我国的种子多样性，转基因不能用于食品,深耕,1011163357787119,138,2,2024-01-13 11:56:16,天津,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453429216378897212,如果连妇女的基本安全都不能保证，这世界该如何发展,海薇,89200858536,137,1,2024-12-28 19:52:04,安徽,
043,7429939082479881487,茂名的荔枝、枣庄的石榴、东山的海鲜…90秒看中国农业大有可为！#绘说现代化,2024-10-26 12:43:15,8887,1275,545252,L1,7430307304371307279,东北农民种了一年地发现倒欠四百[捂脸]是真的吗[流泪],胖大Q,75512703040,136,0,2024-10-27 12:27:18,重庆,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453414623133598523,11年能干嘛？,花开来年之夏՞˶･֊･˶՞,3094462372779524,136,0,2024-12-28 18:55:29,吉林,
088,7546788333142560026,国土面积只占全国约4%，却蕴藏了全国约20%的绿色能源！彩云之南，绿能澎湃！#绘说现代化,2025-09-06 09:53:07,35651,2152,757023,L2,7546913078513058617,补药说实话啊[杀马特],不吃苦瓜的栗子（已瘦51斤）,2887789046406588,136,0,2025-09-06 17:57:11,福建,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349486107359527707,在此郑重声明：人民网也挨00后拿下了[捂脸][捂脸][捂脸][捂脸],我把我唱给你听,3351732618003495,135,0,2024-03-23 17:19:47,广西,
099,7575341215181977930,中国人的饭碗端得更牢了！2024年，全国粮食产量首次突破1.4万亿斤；2024年底，农业科技进步贡献率达到63.2%！#绘说现代化 #AI大家创 #媒体精选计划,2025-11-22 08:32:55,21968,1647,1137943,L1,7575775320894653211,我是来看ai的，相比年前视频ai能力大幅提示,Kity,100630117366,135,3,2025-11-23 12:37:26,湖北,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349831410071913256,调皮的人民网，人民喜欢[呲牙],愣神大侠,97729418042,134,0,2024-03-24 15:39:46,黑龙江,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453419787332125449,结婚证不应成为丈夫殴打妻子的护身符！,家有可乐🐱,62013802015,134,0,2024-12-28 19:15:30,四川,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7353892926788748041,我的长辈不是农业发展银行的行长，都是农民，我肯定要种地,大龄.劳工,54396027702,133,0,2024-04-04 14:20:28,河南,
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309,L1,7382858478362198824,大运河都连着那些省[不是吧],小幸福,108401914851,133,5,2024-06-21 15:41:36,广东,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349774728855421730,告诉我这是哪个平原。,汪汪等5.5w人,64253920270,132,0,2024-03-24 11:59:45,四川,
044,7432554739042176308,设备“更新”产业“焕新”！100秒看“两新”工作新在哪🔥 #绘说现代化,2024-11-02 13:48:44,17898,4175,1012916,L1,7432701826367341371,AI智能工业化，智慧城市 工业互联网；未来可能底层人士也能双休了[鼓掌],生话好物推荐,3936710217972664,132,0,2024-11-02 23:19:15,广西,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453449514730799935,保护妇女儿童,甜酒丸子,521649390617849,132,0,2024-12-28 21:10:53,四川,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349866967103570740,春种千山绿玉 秋收万顷黄金,漓虹,3259405795605277,131,0,2024-03-24 17:57:42,广西,
036,7411739196726988047,我国在校生2.91亿人，研发人员总量居世界首位…教育强国，阔步前行！#绘说现代化,2024-09-07 11:33:40,4309,138,205005,L1,7411741351631225636,考虑一下就业吧,💕  莫道桑榆晚👑💖,60700271685,130,25,2024-09-07 11:41:56,山东,
099,7575341215181977930,中国人的饭碗端得更牢了！2024年，全国粮食产量首次突破1.4万亿斤；2024年底，农业科技进步贡献率达到63.2%！#绘说现代化 #AI大家创 #媒体精选计划,2025-11-22 08:32:55,21968,1647,1137943,L1,7575821862668796721,农民太不容易了，粮食很便宜，农药化肥都很贵，,福来运到,3227796832003837,130,1,2025-11-23 15:38:03,江西,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453401969772872460,十一年不够！！！！！！！！！！！！,我喜欢博博,2875922657585707,129,0,2024-12-28 18:06:21,安徽,
003,7325747193879497995,人才是希望田野的“绘就者”，当前我国农村实用人才超2300万！#绘说现代化,2024-01-19 18:00:44,6816,255,387697,L1,7325791457503314722,调查极目新闻，为什么他张口就随意批判别人的城市,执笔丶写下情,1780845691810492,128,6,2024-01-19 20:52:25,河南,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453432765938402105,能不能帮帮她[泣不成声],夏月,109633363182,128,0,2024-12-28 20:05:50,福建,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7354164350636163894,植树造林造福子孙后代,宝善,606529617939863,127,0,2024-04-05 07:53:46,黑龙江,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453453316325557055,十一年一个女人的命[流泪][流泪],𝙍𝙤𝙗𝙞𝙣,4128025939807178,127,0,2024-12-28 21:25:36,江西,
022,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,31344,5444,1541046,L1,7375383106654290725,能不能拍一下六座大坝的回鱼系统，[抱拳]把生态做好也是重点之重。,罗药师(为生活加油),884464418565559,125,7,2024-06-01 12:13:20,广东,
022,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,31344,5444,1541046,L1,7375532471789044480,听说费白天要涨价晚上不涨价，是真的吗？,金池有鱼,2687675870743864,125,0,2024-06-01 21:52:57,四川,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453407555662906151,是人民的网么？,喵,77521346725,125,0,2024-12-28 18:28:01,湖北,
089,7549899600288140579,水丰、光富、风好、地广…青海在绿电领域的第一也太多了吧！一起感受中国式现代化的磅礴力量！#绘说现代化@人民网青海频道,2025-09-14 19:06:25,3299,77,141051,L1,7549964990473044795,朗朗乾坤，清风日月🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳,是水冰月呀🧸ྀི,75018395001,124,2,2025-09-14 23:20:10,上海,
022,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,31344,5444,1541046,L1,7375532307597902642,[捂脸][捂脸]买了一点长江电力,趁风吹过,96706835868,123,0,2024-06-01 21:52:17,广东,
092,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,2025-10-04 08:20:58,20718,341,373203,L1,7561808130922758971,[比心][比心]乌鲁木齐我要去,等等麻麻,61299520147,123,0,2025-10-16 21:17:36,江苏,
004,7328196474980797715,科技让会种地变成慧种地！全国农作物耕种收综合机械化率已超过73% #绘说现代化,2024-01-26 08:25:26,21792,7226,1160108,L1,7328198896760226598,我们这边山地，用不了这个,瞳宝,74767509794,122,2,2024-01-26 08:34:34,甘肃,
022,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,31344,5444,1541046,L1,7375530276631954217,每个月的电费水费要几百[快哭了][快哭了][快哭了],小澄麻麻吖,958379706550487,121,1,2024-06-01 21:44:25,福建,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453425927570834227,11年[泣不成声],从久伴到酒伴,75436015725,121,0,2024-12-28 19:39:19,湖南,
047,7440437279287561506,应对气候变化，中国在行动！80秒感受中国式现代化的磅礴力量！#绘说现代化,2024-11-23 19:37:05,20211,3649,1210905,L1,7440885417057059593,关注一下环境卫生吧，广西贵港桂平。。。。,泰有趣了叭🛺,59381401027,118,0,2024-11-25 00:35:52,广西,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7353991363836576552,增绿就增优势，植树就是植未来。[赞][赞][赞][赞][赞],悟悦,2937543248324335,117,0,2024-04-04 20:42:26,湖南,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453443159096836879,妈，十一年太少了,🌈🌻🥳⛅️,73117447530,117,3,2024-12-28 20:46:12,四川,
099,7575341215181977930,中国人的饭碗端得更牢了！2024年，全国粮食产量首次突破1.4万亿斤；2024年底，农业科技进步贡献率达到63.2%！#绘说现代化 #AI大家创 #媒体精选计划,2025-11-22 08:32:55,21968,1647,1137943,L1,7575848872229798698,粮食太便宜了，前两天问俺妈九亩棒子就卖了9000一亩地划下来就挣500块，除去成本[捂脸][捂脸][捂脸][捂脸][捂脸],罗子,1622514897010120,115,0,2025-11-23 17:22:51,湖北,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349860290039513890,这土地也太平了，好宽，好漂亮啊！我们这些种地东一块西一块的[捂脸],问心何悦,536203935876423,114,0,2024-03-24 17:31:47,广西,
002,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,2024-01-12 21:03:47,35042,2981,1453380,L2,7323221653100512009,现在都是转基因食品了没有小时候的那样的食品了,没有深度思考的人，你再勤奋也是白干,95181938027,113,0,2024-01-12 22:40:13,甘肃,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349884874650911507,这是哪里？还是大平原好,轩轩蓓蓓一,54835956998,113,0,2024-03-24 19:07:11,河南,
043,7429939082479881487,茂名的荔枝、枣庄的石榴、东山的海鲜…90秒看中国农业大有可为！#绘说现代化,2024-10-26 12:43:15,8887,1275,545252,L1,7430308798802674473,我就想问一下，我们江苏是什么？,水灵儿,97863212619,112,0,2024-10-27 12:33:06,江苏,
044,7432554739042176308,设备“更新”产业“焕新”！100秒看“两新”工作新在哪🔥 #绘说现代化,2024-11-02 13:48:44,17898,4175,1012916,L1,7432682372636476217,TCL科技[赞],༺情༒缘༻,106103339008,112,2,2024-11-02 22:03:46,浙江,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453429532541813523,现在终于知道电影第二十条的含金量了！[苦涩],·灼灼·,4319353771923543,110,0,2024-12-28 19:53:20,山东,
058,7469214648441556278,尔滨正式进入“亚冬时间”， 听易烊千玺、单依纯演唱的《尔滨的雪》，感受龙江冰雪热辣滚烫！#绘说现代化,2025-02-09 08:48:11,4056,101,213920,L1,7469249690866631460,根正苗红正能量艺人易烊千玺[赞][赞][赞],舒适圈,2752787588060040,110,1,2025-02-09 11:03:41,广东,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453423372593890048,如果连妇女的基本安全都不能保证，这世界该如何发展,草莓葡萄柚,70101908131,109,0,2024-12-28 19:29:25,浙江,
004,7328196474980797715,科技让会种地变成慧种地！全国农作物耕种收综合机械化率已超过73% #绘说现代化,2024-01-26 08:25:26,21792,7226,1160108,L1,7328278416581591858,转基因就是科技吗？？？？？,海纳百川，,624110661025485,107,0,2024-01-26 13:43:03,江苏,
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309,L1,7382891303287325480,世界遗产这几个字俺不喜欢，他是属于我们的，中国的，资产。,🐽,2159048260072507,107,0,2024-06-21 17:48:58,安徽,
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309,L1,7382859193412059956,五千年中华文化，博大精深，源远流长，潜移默化，深远持久！[赞][赞][赞],我是孟孟呀,1341031284748040,106,0,2024-06-21 15:44:23,山东,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7353989920454935346,[捂脸][捂脸][捂脸]树种多了，好多地又退林还耕了,用户6979510693026,840485266532411,105,2,2024-04-04 20:36:49,重庆,
025,7382852856467967243,一条大运河，半部华夏史。中国大运河申遗成功十周年，一起感受穿越千年的世界遗产中国大运河！#何以中国运载千秋  #盛世中华何以中国  #绘说现代化,2024-06-21 15:19:50,95933,8621,2856309,L1,7382858251425858319,大运河，中国人开创的奇迹[赞][赞][赞],徒步者,68195425696,105,0,2024-06-21 15:40:44,四川,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7353999251825689354,蚂蚁森林我种了好几棵树呢[比心],小青龙（王者荣耀变现）,2013906554592877,104,0,2024-04-04 21:13:03,江苏,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453406112528892731,十一年不够[流泪],小粘豆包,110535485275,104,0,2024-12-28 18:22:25,内蒙古,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453452885889352483,十一年不够！！！[玫瑰][玫瑰][玫瑰][玫瑰],半勺泡泡糖,87626501649,104,0,2024-12-28 21:23:57,黑龙江,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453454902883828491,保护妇女儿童，保护受害者,Daydream,74786034800,103,0,2024-12-28 21:31:46,山西,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7353996173000049418,种树在中国是全民最重大的事情[赞][赞][赞],安静,105600785039,102,0,2024-04-04 21:01:04,河北,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349385448483144482,一年之计在于90后、00后、10后了[捂脸][捂脸][捂脸],用户6709227645366,3953445482281579,101,3,2024-03-23 10:49:08,福建,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453414244214670137,11 太少了[流泪],男同我只看 he,2283021266596424,101,1,2024-12-28 18:53:58,河南,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453421935713796904,11年太轻了,小煤球,66407801642,100,0,2024-12-28 19:23:55,四川,
052,7453401499742342454,现在的中国航天有多强？综合实力不断提升，太空探索范围更深更广！一起感受❤️#绘说现代化,2024-12-28 18:05:09,6877,147,518799,L1,7453453741547914019,十一年啊😦！请祖国保护妇女儿童的权力[泣不成声],用户0951831496476,2305027700692456,99,0,2024-12-28 21:27:15,山东,
088,7546788333142560026,国土面积只占全国约4%，却蕴藏了全国约20%的绿色能源！彩云之南，绿能澎湃！#绘说现代化,2025-09-06 09:53:07,35651,2152,757023,L1,7546829778512806716,说句实话，光伏要慎重在云南搞,火石玛耶,56061198284,98,5,2025-09-06 12:33:58,云南,
002,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,2024-01-12 21:03:47,35042,2981,1453380,L2,7323217474185380658,国家有粮食，人民才不慌[赞],桐哥,80089105570,96,0,2024-01-12 22:24:00,海南,
003,7325747193879497995,人才是希望田野的“绘就者”，当前我国农村实用人才超2300万！#绘说现代化,2024-01-19 18:00:44,6816,255,387697,L1,7325793654236087066,求国家调查极目,用户-姜姜好🐱,747307447891923,94,1,2024-01-19 21:00:55,河南,
061,7477032888144235810,两会时间即将开启，这份惠农“大礼包”请查收！ #绘说现代化,2025-03-02 10:30:17,5714,693,315106,L1,7477194257053795110,我们村，书记开茶楼，副书记开超市，社长开家电超市，白天九点十点上班，四点下班回自己的第二产业上班。,汤粑粑,316313180844948,94,1,2025/3/2 20:52,四川,
099,7575341215181977930,中国人的饭碗端得更牢了！2024年，全国粮食产量首次突破1.4万亿斤；2024年底，农业科技进步贡献率达到63.2%！#绘说现代化 #AI大家创 #媒体精选计划,2025-11-22 08:32:55,21968,1647,1137943,L1,7575842894902756133,城市水太深 我想回农村[比心][比心],彤彤要爆爆,68739877559,94,0,2025-11-23 16:59:40,河北,
022,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,2024-06-01 12:00:00,31344,5444,1541046,L1,7375522550300017459,又创造了世界之最，厉害了我的国。[赞][赞][赞],枫叶虹,67652411406,93,0,2024-06-01 21:14:25,广西,
004,7328196474980797715,科技让会种地变成慧种地！全国农作物耕种收综合机械化率已超过73% #绘说现代化,2024-01-26 08:25:26,21792,7226,1160108,L1,7328263199673303835,我们村实现了百分百机械化生产，专门整出了一个1亩平地，用小型农业机械耕种，实现了百分百机械化生产,小山东,655731410877127,92,0,2024-01-26 12:44:04,浙江,
002,7323196776314457395,为了吃好饭中国人有多认真？我国种业科技已处于世界先进水平！#绘说现代化,2024-01-12 21:03:47,35042,2981,1453380,L2,7323456677054432027,拒绝转基因食品,欢哥,97137223158,91,0,2024-01-13 13:52:16,湖北,
099,7575341215181977930,中国人的饭碗端得更牢了！2024年，全国粮食产量首次突破1.4万亿斤；2024年底，农业科技进步贡献率达到63.2%！#绘说现代化 #AI大家创 #媒体精选计划,2025-11-22 08:32:55,21968,1647,1137943,L1,7575761870104675108,90后看看还有谁种田[抠鼻],🥇米多多吖,3705818426114602,91,15,2025-11-23 11:45:15,四川,
012,7349382897159163188,一年之计在于春，一年好景在春耕。春耕这件事中国人有多认真？#绘说现代化,2024-03-23 10:39:22,26333,3475,1533093,L1,7349709214279140096,我是河南网友，村支书以租方式租的老百姓口粮地，后期不给钱，不给地，老百姓应该怎么办,云舒,1161501604325715,90,0,2024-03-24 07:45:32,河南,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7353991345076519689,我也喜欢栽树今年栽了一百多颗，就是把杨树枝截成一小段用铁锤砸钢筋戳出一个洞把杨树枝塞进去今天去看全部发芽了,富富有余,111151991851,89,0,2024-04-04 20:42:21,河南,
014,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,2024-04-04 12:42:48,39102,6609,1837677,L1,7353991489355563826,植树造林保护生态环境,至永幸福,3280533704149992,88,0,2024-04-04 20:42:54,辽宁,
